timestamp,user,image_file,true_region,prompt_type,selected_region,is_correct
2025-12-09 05:55:18,oiwane,saga_complex_006.png,saga,complex,saga,1
2025-12-09 05:55:51,oiwane,osaka_simple_007.png,osaka,simple,osaka,1
2025-12-09 05:56:05,oiwane,osaka_complex_003.png,osaka,complex,miyazaki,0
2025-12-09 05:56:14,oiwane,nara_complex_009.png,nara,complex,osaka,0
2025-12-09 05:56:19,oiwane,saitama_complex_007.png,saitama,complex,saitama,1
2025-12-09 05:56:43,oiwane,saitama_simple_005.png,saitama,simple,miyazaki,0
2025-12-09 05:56:48,oiwane,miyazaki_complex_002.png,miyazaki,complex,shiga,0
2025-12-09 05:56:59,oiwane,miyazaki_simple_006.png,miyazaki,simple,nara,0
2025-12-09 05:57:06,oiwane,miyazaki_simple_001.png,miyazaki,simple,miyazaki,1
2025-12-09 05:57:18,oiwane,saga_complex_003.png,saga,complex,miyazaki,0
2025-12-09 05:57:28,oiwane,osaka_complex_005.png,osaka,complex,shiga,0
2025-12-09 05:57:55,oiwane,miyazaki_simple_010.png,miyazaki,simple,shiga,0
2025-12-09 05:58:05,oiwane,miyazaki_simple_009.png,miyazaki,simple,nara,0
2025-12-09 05:58:25,oiwane,saitama_simple_008.png,saitama,simple,saga,0
2025-12-09 05:58:34,oiwane,osaka_complex_002.png,osaka,complex,shiga,0
2025-12-09 05:58:37,oiwane,saitama_simple_003.png,saitama,simple,saitama,1
2025-12-09 05:58:47,oiwane,shiga_simple_003.png,shiga,simple,osaka,0
2025-12-09 05:58:52,oiwane,nara_simple_009.png,nara,simple,miyazaki,0
2025-12-09 05:59:09,oiwane,nara_complex_002.png,nara,complex,nara,1
2025-12-09 05:59:17,oiwane,miyazaki_simple_007.png,miyazaki,simple,miyazaki,1
2025-12-09 05:59:50,oiwane,saga_simple_003.png,saga,simple,saga,1
2025-12-09 05:59:53,oiwane,saga_complex_008.png,saga,complex,saga,1
2025-12-09 06:00:05,oiwane,osaka_simple_004.png,osaka,simple,osaka,1
2025-12-09 06:00:14,oiwane,nara_complex_005.png,nara,complex,miyazaki,0
2025-12-09 06:00:20,oiwane,osaka_complex_004.png,osaka,complex,osaka,1
2025-12-09 06:00:24,oiwane,saga_complex_010.png,saga,complex,saga,1
2025-12-09 06:00:28,oiwane,saitama_complex_004.png,saitama,complex,saitama,1
2025-12-09 06:00:38,oiwane,shiga_simple_009.png,shiga,simple,shiga,1
2025-12-09 06:00:47,oiwane,shiga_simple_002.png,shiga,simple,nara,0
